CLAC1_NM,CLAC2_NM,CLAC3_NM,PD_BRA_NM,PD_BUY_AM,PD_BUY_CT,PD_SALES,F_10,F_20,F_30,F_40,F_50,F_60,F_70,F_80,M_10,M_20,M_30,M_40,M_50,M_60,M_70,M_80,NOT_SIGNED,Desktop,Mobile,Busan,Chungbuk,Chungnam,Daegu,Daejeon,Gangwon,Gwangju,Gyeonggi,Gyeongbu,Gyeongnam,Incheon,Jeju,Jeonbuk,Jeonnam,Seoul,Ulsan
남성의류,남성의류상의,남성가디건,갤럭시,239200,1,239200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남성의류,남성의류상의,남성가디건,게스,63146,144,9093024,0.0,3.0,22.0,72.0,22.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,17.0,17.0,125.0,7.0,2.0,18.0,6.0,11.0,0.0,2.0,24.0,4.0,6.0,1.0,1.0,4.0,0.0,54.0,2.0
남성의류,남성의류상의,남성가디건,꼼데가르송,466000,2,932000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
남성의류,남성의류상의,남성가디건,내셔널지오그래픽,84257,7,589799,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
남성의류,남성의류상의,남성가디건,라코스테,248476,68,16896368,0.0,10.0,17.0,13.0,6.0,0.0,0.0,0.0,2.0,7.0,1.0,3.0,4.0,0.0,0.0,0.0,5.0,4.0,32.0,7.0,1.0,2.0,5.0,1.0,1.0,5.0,6.0,6.0,0.0,0.0,1.0,9.0,0.0,23.0,1.0
남성의류,남성의류상의,남성가디건,마에스트로,103300,1,103300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남성의류,남성의류상의,남성가디건,메종키츠네,371000,1,371000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남성의류,남성의류상의,남성가디건,몽클레어,584500,2,1169000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남성의류,남성의류상의,남성가디건,본,100571,7,703997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
남성의류,남성의류상의,남성가디건,빈폴,161764,111,17955804,0.0,2.0,27.0,29.0,3.0,1.0,0.0,0.0,0.0,3.0,10.0,5.0,5.0,2.0,0.0,0.0,19.0,16.0,90.0,8.0,1.0,6.0,2.0,1.0,1.0,1.0,23.0,2.0,4.0,5.0,2.0,3.0,2.0,40.0,5.0
남성의류,남성의류상의,남성가디건,슈퍼콤마비,49000,6,294000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
남성의류,남성의류상의,남성가디건,스톤아일랜드,319571,14,4473994,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0
