LABEL,CLAC1_NM,CLAC2_NM,PD_BUY_AM,PD_BUY_CT,PD_SALES,BRA_SC,CLAC3_SC,F_10,F_20,F_30,F_40,F_50,F_60,F_70,F_80,M_10,M_20,M_30,M_40,M_50,M_60,M_70,M_80,NOT_SIGNED,Desktop,Mobile,Busan,Chungbuk,Chungnam,Daegu,Daejeon,Gangwon,Gwangju,Gyeonggi,Gyeongbu,Gyeongnam,Incheon,Jeju,Jeonbuk,Jeonnam,Seoul,Ulsan
갤럭시_남성가디건,남성의류,남성의류상의,239200,1,239200,-0.2915774303488559,-0.0902972684966808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
게스_남성가디건,남성의류,남성의류상의,63146,144,9093024,0.5511943840376634,-0.0902972684966808,0.0,3.0,22.0,72.0,22.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,17.0,17.0,125.0,7.0,2.0,18.0,6.0,11.0,0.0,2.0,24.0,4.0,6.0,1.0,1.0,4.0,0.0,54.0,2.0
꼼데가르송_남성가디건,남성의류,남성의류상의,466000,2,932000,-0.2915774303488559,-0.0902972684966808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
내셔널지오그래픽_남성가디건,남성의류,남성의류상의,84257,7,589799,-0.2915774303488559,-0.0902972684966808,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
라코스테_남성가디건,남성의류,남성의류상의,248476,68,16896368,6.421080452318955,-0.0902972684966808,0.0,10.0,17.0,13.0,6.0,0.0,0.0,0.0,2.0,7.0,1.0,3.0,4.0,0.0,0.0,0.0,5.0,4.0,32.0,7.0,1.0,2.0,5.0,1.0,1.0,5.0,6.0,6.0,0.0,0.0,1.0,9.0,0.0,23.0,1.0
마에스트로_남성가디건,남성의류,남성의류상의,103300,1,103300,-0.2915774303488559,-0.0902972684966808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
메종키츠네_남성가디건,남성의류,남성의류상의,371000,1,371000,-0.2915774303488559,-0.0902972684966808,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
몽클레어_남성가디건,남성의류,남성의류상의,584500,2,1169000,-0.2915774303488559,-0.0902972684966808,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
본_남성가디건,남성의류,남성의류상의,100571,7,703997,1.3039194250127966,-0.0902972684966808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
빈폴_남성가디건,남성의류,남성의류상의,161764,111,17955804,2.176061917914477,-0.0902972684966808,0.0,2.0,27.0,29.0,3.0,1.0,0.0,0.0,0.0,3.0,10.0,5.0,5.0,2.0,0.0,0.0,19.0,16.0,90.0,8.0,1.0,6.0,2.0,1.0,1.0,1.0,23.0,2.0,4.0,5.0,2.0,3.0,2.0,40.0,5.0
슈퍼콤마비_남성가디건,남성의류,남성의류상의,49000,6,294000,-0.2915774303488559,-0.0902972684966808,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
스톤아일랜드_남성가디건,남성의류,남성의류상의,319571,14,4473994,-0.2915774303488559,-0.0902972684966808,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0
시리즈_남성가디건,남성의류,남성의류상의,141677,99,14026023,-0.2915774303488559,-0.0902972684966808,0.0,0.0,11.0,7.0,3.0,1.0,0.0,0.0,0.0,4.0,26.0,24.0,2.0,1.0,0.0,0.0,19.0,19.0,39.5,11.0,1.0,2.0,7.0,2.0,0.0,4.0,19.0,4.0,5.0,3.0,1.0,2.0,0.0,37.0,0.0
